Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Malaysia,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Malaysia,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Maldives,General government net debt,National currency,Billions,,6.007,6.683,9.360,14.065,17.103,20.612,23.583,26.783,31.051,35.095,41.812,51.540,62.412,72.257,79.547
Maldives,General government net debt,Percent of GDP, ,,31.821,29.903,34.658,51.126,57.510,57.625,60.950,62.355,65.895,72.798,82.715,95.735,107.879,115.873,118.016
Mali,General government net debt,National currency,Billions,,444.017,475.272,701.206,551.826,900.108,"1,118.201","1,319.407","1,298.258","1,671.635","2,335.931","2,595.351","2,864.819","3,171.182","3,440.189","3,740.011"
Mali,General government net debt,Percent of GDP, ,,12.307,12.174,16.059,11.479,17.019,18.260,20.770,19.839,23.441,30.243,30.952,32.103,33.940,34.730,35.482
Malta,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Malta,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
Marshall Islands,General government net debt,National currency,Billions, , , , , , , , , , , , , , , , 
Marshall Islands,General government net debt,Percent of GDP, , , , , , , , , , , , , , , , , 
